result_group,model_id,architecture,selected_final,validation_macro_f1,test_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_f1_intact,test_f1_broken,mean_confidence,latency_mean_ms,latency_cuda_mean_ms,latency_seconds_per_image,test_macro_f1_abs_delta_vs_r1,test_macro_f1_pct_delta_vs_r1,validation_macro_f1_abs_delta_vs_r1,validation_macro_f1_pct_delta_vs_r1,checkpoint,config_source,validation_source,test_source,conclusion,notes
Resultados 1,resnet18_baseline,resnet18,false,0.660513036762,0.62595507509,0.670498084291,0.741193380401,0.650534190888,0.296296296296,0.641975308642,0.607272681548,,,,0,0,0,0,models/vision/resnet18_baseline_best.pt,results/vision/resultados_1_baseline/run_config.yaml,results/vision/resultados_1_baseline/run_summary.json,results/vision/resultados_1_baseline/metrics_test.json,not_selected,Validation uses reconciled checkpoint metadata; archived validation metrics contained a stale higher value.
Resultados 2,resnet18_v2,resnet18,false,0.920700674471,0.903328507728,0.904214559387,0.904226490596,0.904657640656,0.879581151832,0.89898989899,0.930108707412,7.05247499573,7.05247499573,,0.277373432638,44.3120351087,0.260187637709,39.3917490235,models\vision\resnet18_v2_best.pt,results/vision/resultados_2_mejoras/05_resnet18_v2/run_config.yaml,results/vision/resultados_2_mejoras/05_resnet18_v2/metrics_validation.json,results/vision/resultados_2_mejoras/05_resnet18_v2/metrics_test.json,not_selected,
Resultados 2,efficientnet_b0_v2,efficientnet_b0,false,0.899532356532,0.868305592123,0.869731800766,0.871554015736,0.869925644818,0.842639593909,0.83422459893,0.892489928053,19.764045006,19.764045006,,0.242350517033,38.716918622,0.23901931977,36.1869193289,models\vision\efficientnet_b0_v2_best.pt,results/vision/resultados_2_mejoras/08_comparacion_modelos/efficientnet_run_config.yaml,results/vision/resultados_2_mejoras/08_comparacion_modelos/efficientnet_metrics_validation.json,results/vision/resultados_2_mejoras/08_comparacion_modelos/efficientnet_metrics_test.json,retroceso_vs_resnet18_v2_validation,Not selected because validation macro-F1 is lower than ResNet18 V2.
Resultados 2,resnet18_v2_tta_light,resnet18,true,0.926503454052,0.916866964273,0.917624521073,0.918331866778,0.918164496632,0.895833333333,0.909090909091,0.924303226829,,,0.287292712261,0.290911889183,46.4748830643,0.26599041729,40.2702751475,models/vision/resnet18_v2_best.pt,configs/vision_v2_resnet18.yaml,results/vision/resultados_2_mejoras/07_tta/selected_tta_policy.json,results/vision/resultados_2_mejoras/07_tta/tta_test_results.json,selected_by_validation,Final inference configuration selected by validation macro-F1 before test reporting.
