,precision,recall,f1-score,support
intact,0.84,0.9230769230769231,0.8795811518324608,91.0
spotted,0.9238095238095239,0.9150943396226415,0.919431279620853,106.0
immature,0.95,0.8482142857142857,0.8962264150943396,112.0
broken,0.9081632653061225,0.89,0.898989898989899,100.0
skin_damaged,0.8991596638655462,0.9469026548672567,0.9224137931034483,113.0
accuracy,0.9042145593869731,0.9042145593869731,0.9042145593869731,0.9042145593869731
macro avg,0.9042264905962385,0.9046576406562215,0.9033285077282003,522.0
weighted avg,0.9064850154621236,0.9042145593869731,0.904235071775498,522.0
