epoch,phase,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate,epoch_time_seconds,is_best
1,head,1.0883495233138232,0.7103440514926253,0.5675999042833214,0.7547892720306514,0.5635591971251847,0.7459507709611424,0.000996057350657239,1451.6842374000116,True
2,head,0.8816177991623797,0.6576774604475818,0.6556592486240728,0.7720306513409961,0.6531895858496621,0.7675653717382606,0.0009842915805643156,1333.9450933999906,True
3,layer4,0.6944668405390892,0.449630999930517,0.7382148839435272,0.8256704980842912,0.7361069446386176,0.8244800352838768,0.000996057350657239,1327.3056891000015,True
4,layer4,0.5269125498176962,0.34137832570350035,0.817899018904044,0.8793103448275862,0.8165149441712689,0.8777491042850757,0.0009842915805643156,1349.0405712999927,True
5,layer4,0.482306143863973,0.32052545392193554,0.8339315625747786,0.8754789272030651,0.8324594035208255,0.874950847751929,0.0009648882429441258,1380.8394952999952,False
6,layer4,0.4093535768269751,0.4502273003260295,0.8566642737497009,0.8467432950191571,0.8553230959489649,0.8459849940480414,0.0009381533400219318,1372.6950305000064,False
7,layer4,0.37096269828447687,0.25888700686195343,0.8650394831299354,0.8946360153256705,0.8639080140536637,0.8936125362503345,0.0009045084971874737,1339.5737338999752,True
8,layer3_layer4,0.3554578934539645,0.3262887295635267,0.8724575257238574,0.8908045977011494,0.8710323715899456,0.8909301410924643,0.000996057350657239,1338.454343999998,False
9,layer3_layer4,0.3462739466593921,0.27354809858789847,0.8770040679588418,0.9042145593869731,0.8759166881162592,0.9034160316736045,0.0009842915805643156,1307.3946625000099,True
10,layer3_layer4,0.30165182736878987,0.22258089876723017,0.8913615697535295,0.921455938697318,0.8902713607153835,0.9207006744711761,0.0009648882429441258,1328.3918192999845,True
11,layer3_layer4,0.22329515845054188,0.287758635378432,0.9207944484326394,0.9022988505747126,0.9201431854418933,0.9021114680433545,0.0009381533400219318,1462.036039300001,False
12,layer3_layer4,0.23415755857603207,0.42012318409265687,0.91816223977028,0.8831417624521073,0.9172907661726774,0.8823801639774798,0.0009045084971874737,1458.8143090999802,False
13,layer3_layer4,0.21021406705883253,0.26193208141801916,0.9265374491505145,0.9061302681992337,0.9261718060869131,0.9061758075632055,0.0008644843137107057,1341.8782533000049,False
14,layer3_layer4,0.19768008662841913,0.2906052207581385,0.9315625747786552,0.9042145593869731,0.9310953573908154,0.9039142780621084,0.0008187119948743448,1289.6735352000105,False
15,layer3_layer4,0.16435270287055495,0.3395255678458232,0.9432878679109835,0.9022988505747126,0.942683721050628,0.9020802598194482,0.0007679133974894982,1285.0322701999976,False
