,precision,recall,f1-score,support
intact,0.7830188679245284,0.9120879120879121,0.8426395939086294,91.0
spotted,0.9074074074074074,0.9245283018867925,0.9158878504672897,106.0
immature,0.9207920792079208,0.8303571428571429,0.8732394366197183,112.0
broken,0.896551724137931,0.78,0.8342245989304813,100.0
skin_damaged,0.85,0.9026548672566371,0.8755364806866953,113.0
accuracy,0.8697318007662835,0.8697318007662835,0.8697318007662835,0.8697318007662835
macro avg,0.8715540157355575,0.869925644817697,0.8683055921225626,522.0
weighted avg,0.8740877154241331,0.8697318007662835,0.869588533155692,522.0
