epoch,phase,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,learning_rate,epoch_time_seconds,is_best
1,head,0.9589207957708884,0.6507720216480708,0.6563771237138071,0.789272030651341,0.6537171306938937,0.7893633345838125,0.000996057350657239,227.06181390001439,True
2,head,0.7391776623167357,0.584814268967201,0.7303182579564489,0.8026819923371648,0.7280638502865119,0.8021033248051262,0.0009842915805643156,91.47966169999563,True
3,layer4,0.6777622158603253,0.5358519937800265,0.7513759272553242,0.8160919540229885,0.7490576199540375,0.8157209347344978,0.000996057350657239,79.57934129997739,True
4,layer4,0.6529612831163418,0.490005687278806,0.7542474276142618,0.8295019157088123,0.7518459212010103,0.8268559788430657,0.0009842915805643156,73.04616239998722,True
5,layer4,0.6445093566534421,0.4772680362979114,0.756640344580043,0.8409961685823755,0.7543255051013602,0.8405295707698359,0.0009648882429441258,102.08568210000522,True
6,layer4,0.6202612915309201,0.5179006578365049,0.7650155539602775,0.8371647509578544,0.7628188221456371,0.8379160548057136,0.0009381533400219318,113.03870000000461,False
7,layer4,0.612489097524585,0.45299991588482913,0.7604690117252931,0.8505747126436781,0.7590104246812016,0.8497207253944001,0.0009045084971874737,92.29437369998777,True
8,layer3_layer4,0.6068927710722097,0.4420441820703704,0.7753050969131371,0.8448275862068966,0.7736599803185965,0.8432388366258319,0.000996057350657239,68.35496840000269,False
9,layer3_layer4,0.5743361370904105,0.4012767471572905,0.7867910983488873,0.8486590038314177,0.78529681673638,0.8478042717336575,0.0009842915805643156,66.943422500015,False
10,layer3_layer4,0.5356276334544408,0.3939947723428865,0.8018664752333095,0.8639846743295019,0.8004706811213357,0.8640768927060657,0.0009648882429441258,117.76358599998639,True
11,layer3_layer4,0.5016281767221238,0.3663578734544045,0.8183776022972002,0.8659003831417624,0.8168002440778505,0.8645712687145004,0.0009381533400219318,83.08644860002096,True
12,layer3_layer4,0.4959335403027047,0.34053646399143556,0.814309643455372,0.8735632183908046,0.8122247570185671,0.8730268926180471,0.0009045084971874737,67.97242259999621,True
13,layer3_layer4,0.4838984490125537,0.33092923091289184,0.819574060780091,0.8716475095785441,0.8182174817660821,0.870510929345342,0.0008644843137107057,69.12654729999485,False
14,layer3_layer4,0.47703838783407015,0.387257045484594,0.8200526441732472,0.8601532567049809,0.818738082505422,0.8587733120741816,0.0008187119948743448,70.76521190002677,False
15,layer3_layer4,0.44667062038552624,0.46484055989546796,0.8317779373055755,0.8371647509578544,0.83055762653062,0.8353067117665104,0.0007679133974894982,70.18157869999413,False
16,layer3_layer4,0.442259544646178,0.341843419376461,0.8339315625747786,0.8773946360153256,0.8325315462375811,0.8769400124300344,0.0007128896457825362,69.6609119999921,True
17,layer3_layer4,0.42312480826274035,0.3396929360897605,0.8411103134721225,0.8812260536398467,0.8401237454885585,0.8807264653969635,0.0006545084971874736,69.61099009998725,True
18,layer3_layer4,0.39086224818720317,0.3666573333557538,0.856903565446279,0.8793103448275862,0.8562601548784426,0.8785565838058845,0.0005936906572928624,69.7734828000248,False
19,layer3_layer4,0.40371398740078335,0.33248921692142996,0.8535534816941852,0.8850574712643678,0.8524560791447785,0.8848988970685001,0.0005313952597646568,69.4646980999969,True
20,layer3_layer4,0.4044783873602545,0.35670227223429185,0.849485522852357,0.89272030651341,0.8482747252076814,0.8922655063284465,0.00046860474023534336,68.07442429999355,True
21,layer3_layer4,0.4125415420854568,0.36268237701321016,0.8473318975831539,0.8773946360153256,0.8463526543958018,0.8762816833508577,0.0004063093427071377,68.7991887999815,False
22,layer3_layer4,0.4009439629226474,0.34131686440829573,0.8497248145489351,0.8850574712643678,0.8488176989974654,0.8846640046319493,0.00034549150281252644,68.36890320002567,False
23,layer3_layer4,0.3962997119944185,0.32333515864222445,0.8463747307968413,0.8946360153256705,0.8449024212086137,0.8939325276086432,0.00028711035421746366,69.49267099998542,True
24,layer3_layer4,0.369499604221051,0.3440343518366759,0.8616893993778416,0.8888888888888888,0.8605129343044966,0.8885940854494644,0.00023208660251050156,70.12725869999849,False
25,layer3_layer4,0.38318063859293183,0.3233673558838066,0.8600143575017947,0.9022988505747126,0.8590349892644031,0.9014559419611933,0.00018128800512565513,69.06725140000344,True
