model,architecture,device,latency_mean_ms,latency_p50_ms,latency_min_ms,latency_max_ms,peak_inference_memory_mb,batch_size,image_size
resnet18_v2,resnet18,cpu,54.43714000284672,54.245950013864785,47.8589000122156,63.60839999979362,,1,224
efficientnet_b0_v2,efficientnet_b0,cpu,54.10492500086548,52.678599997307174,47.87079998641275,74.29689998389222,,1,224
resnet18_v2,resnet18,cuda,7.052474995725788,6.344049994368106,5.9883999929297715,10.728699999162927,236.2890625,1,224
efficientnet_b0_v2,efficientnet_b0,cuda,19.764045006013475,20.059850023244508,15.043100022012368,24.766999995335937,90.9248046875,1,224
