model,validation_macro_f1,validation_macro_precision,validation_macro_recall,validation_accuracy,validation_recall_intact,validation_f1_intact,validation_recall_broken,validation_f1_broken,test_macro_f1,test_macro_precision,test_macro_recall,test_accuracy,test_recall_intact,test_f1_intact,test_recall_broken,test_f1_broken,latency_cpu_mean_ms,latency_cuda_mean_ms,latency_mean_ms,max_memory_mb,parameter_memory_mb,parameters,checkpoint_size_mb,training_time_seconds
resnet18_v2,0.9207006744711761,0.9218376460599679,0.92101513947732,0.921455938697318,0.945054945054945,0.9148936170212766,0.85,0.8854166666666666,0.9033285077282003,0.9042264905962385,0.9046576406562215,0.9042145593869731,0.9230769230769231,0.8795811518324608,0.89,0.898989898989899,54.43714000284672,7.052474995725788,7.052474995725788,236.2890625,42.64479446411133,11179077,122.83079051971436,20665.452922700002
efficientnet_b0_v2,0.8995323565323565,0.9032196700267013,0.9019741449066879,0.9003831417624522,0.978021978021978,0.89,0.84,0.875,0.8683055921225626,0.8715540157355575,0.869925644817697,0.8697318007662835,0.9120879120879121,0.8426395939086294,0.78,0.8342245989304813,54.10492500086548,19.764045006013475,19.764045006013475,90.9248046875,15.312015533447266,4013953,24.29028606414795,2122.3973290000285
