epoch,phase,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_macro_f1,learning_rate,epoch_time
1,head,1.1180027918214859,0.8637426929455607,0.5616176118688682,0.6992337164750958,0.6605130367624343,0.001,118.16996269999072
2,head,0.8467829613972007,0.6796160516154264,0.6771955013161043,0.764367816091954,0.7573083921052681,0.001,57.50311510000029
3,layer4,0.572832094414949,0.3538321530681917,0.7875089734386217,0.8735632183908046,0.8719724242531915,0.001,50.88060489999771
4,layer4,0.37824417802242893,0.3194469830085491,0.8650394831299354,0.8908045977011494,0.8883708242077392,0.001,50.623540200002026
5,layer4,0.3150969034292162,0.2537119489063248,0.8825077769801388,0.8984674329501916,0.8982252640587299,0.001,49.453816299996106
6,layer4,0.2526247704173852,0.27728730462976797,0.9059583632447954,0.896551724137931,0.8945590241007004,0.001,52.30229160000454
7,layer4,0.21273314844095756,0.23878441756712523,0.9205551567360613,0.9233716475095786,0.9231883922779236,0.001,49.41544530000829
8,layer4,0.2195525554470766,0.31010575244253163,0.9207944484326394,0.9022988505747126,0.901058170734571,0.001,49.684422000005725
9,layer4,0.18798128555596347,0.26708796243557986,0.9325197415649676,0.9137931034482759,0.9125714422764484,0.001,49.85641880000185
10,layer4,0.17079573867922337,0.3086898785898055,0.9361091170136396,0.9061302681992337,0.9047375664585321,0.001,50.168846700005815
11,layer4,0.12559000146135127,0.28728577745828593,0.9547738693467337,0.9080459770114943,0.9067637088084645,0.001,49.0368160999933
