,precision,recall,f1-score,support
intact,0.9411764705882353,0.17582417582417584,0.2962962962962963,91.0
spotted,0.6216216216216216,0.8679245283018868,0.7244094488188977,106.0
immature,0.5792682926829268,0.8482142857142857,0.6884057971014492,112.0
broken,0.8387096774193549,0.52,0.6419753086419753,100.0
skin_damaged,0.7251908396946565,0.8407079646017699,0.7786885245901639,113.0
accuracy,0.6704980842911877,0.6704980842911877,0.6704980842911877,0.6704980842911877
macro avg,0.7411933804013591,0.6505341908884237,0.6259550750897566,522.0
weighted avg,0.7322500615389669,0.6704980842911877,0.638009861984702,522.0
