document_id,title,authors,year,organization,source_url,license,local_path,sha256,file_type,pages,language,topics,status,notes
DOC001,Genebank Standards for Plant Genetic Resources for Food and Agriculture,,,,,,data/documents/accepted/01_fao_genebank_standards.pdf,a1f9df0971e0dd756183dd6bb7e80ba823512e73f1f24c56f2e87536b2a69279,pdf,182,en,intact/general quality; broken/mechanical damage; immature; spotted/visible surface alterations; storage; handling,accepted,
DOC002,Subpart J -- United States Standards for Soybeans,,,,,,data/documents/accepted/02_usda_soybean_standards.pdf,6a4ca4831ba35ed681a3d58e5784ac711e8588ef37ed270c96c55bc116c21ff5,pdf,4,en,intact/general quality; broken/mechanical damage; immature; spotted/visible surface alterations; skin_damaged,accepted,
DOC003,Evaluation of soybean genotypes for reaction to natural field infection by Cercospora species causing purple seed stain,,,,,,data/documents/accepted/03_plos_purple_seed_stain.pdf,25d65a481aaa68a5bee0cdd738fe777b183fb879a9fa2680f150e17aff16ecf9,pdf,15,en,intact/general quality; broken/mechanical damage; immature; spotted/visible surface alterations; skin_damaged; storage; handling,accepted,
DOC004,Field Book,,,,,,data/documents/accepted/06_minnesota_soybean_field_book.pdf,819f0c8dbd44624d8c7c312e6d542e8d6fa3e5f7646ae305e4d2136a08cabd16,pdf,150,en,intact/general quality; broken/mechanical damage; immature; spotted/visible surface alterations; skin_damaged; storage; handling,accepted,
DOC005,,,,,,,data/documents/accepted/07_soybean_maturation_desiccation.pdf,b77118ff359604ed7d2ec7e718c23ff0de911e0431a727cebdaccbdb18dc514f,pdf,6,en,intact/general quality; broken/mechanical damage; immature; spotted/visible surface alterations; skin_damaged; storage; handling,accepted,
DOC006,,,,,,,data/documents/accepted/08_seed_imbibition_soybean.pdf,c12dc0858296c3f44811adbc923395d7199fac16d5e9cae14e324310904ffbd1,pdf,6,en,intact/general quality; broken/mechanical damage; spotted/visible surface alterations; skin_damaged; storage; handling,accepted,
